Consumer,Hour,Mean,Std
B11000956,12,35.78688524590164,5.639773144194635
B11000956,13,43.295081967213115,7.7657175621816465
B11000956,14,44.31147540983606,8.074531877222393
B11000956,15,41.622950819672134,8.31385163432577
B11000956,16,38.49180327868852,8.149470365612066
B11000956,17,37.08196721311475,8.150822309852785
B11000956,18,41.52459016393443,8.777031421257377
B11000956,19,47.442622950819676,8.745068099846259
B11000956,20,48.622950819672134,7.8764307769742095
B11000956,21,47.47540983606557,7.002590989750816
B11000956,22,46.09836065573771,6.16628835415996
B11000956,23,43.63934426229508,4.845253844321235
B11000956,24,40.967213114754095,4.269476925441475
B11000957,1,34.47540983606557,3.583233073393902
B11000957,2,24.21311475409836,4.22372205563114
B11000957,3,18.295081967213115,3.2760645237499793
B11000957,4,17.0,3.223886260858286
B11000957,5,15.60655737704918,2.765588832594276
B11000957,6,14.852459016393443,1.9821834754349954
B11000957,7,14.147540983606557,1.9904366896571863
B11000957,8,13.655737704918034,1.9492347880822725
B11000957,9,16.508196721311474,4.167095740695237
B11000957,10,29.16393442622951,3.3445837196869745
